"id";"dur";"df";"minf";"maxf";"q25";"q50";"q75"
"194a";0.504;981.8;500;1828.1;843.8;953.1;1125
"194a";0.504;953.8;742.2;1921.9;890.6;968.8;1617.2
"194a";0.512;952.8;554.7;1921.9;882.8;968.8;1648.4
"194a";0.568;908.1;515.6;1859.4;828.1;921.9;1398.4
"1973";0.488;1049.4;898.4;1101.6;976.6;1039.1;1085.9
"1973";0.488;1022.8;875;1890.6;976.6;1023.4;1070.3
"1973";0.504;1043.1;898.4;1890.6;992.2;1039.1;1148.4
"1973";0.488;1062.3;867.2;1109.4;968.8;1039.1;1085.9
"1973";0.504;1050;898.4;1101.6;976.6;1039.1;1085.9
"1973";0.52;993.7;851.6;1890.6;953.1;1007.8;1171.9
"1973";0.528;993.7;851.6;1882.8;953.1;1007.8;1265.6
"1973";0.496;1047.1;867.2;1882.8;968.8;1031.3;1085.9
"1973";0.504;1044;882.8;1898.4;968.8;1039.1;1140.6
"1973";0.488;1044.8;867.2;1898.4;968.8;1031.3;1078.1
"199a";0.464;1064.5;898.4;1179.7;1015.6;1062.5;1109.4
"199a";0.456;1070.4;898.4;1156.3;1015.6;1062.5;1101.6
"199a";0.448;1062.5;906.3;1132.8;1007.8;1054.7;1085.9
"199a";0.432;1062.3;914.1;1140.6;1007.8;1054.7;1085.9
"199a";0.456;1069.7;906.3;1179.7;1015.6;1062.5;1101.6
"199a";0.464;1067.1;890.6;1148.4;992.2;1046.9;1085.9
"199a";0.44;1066.1;898.4;1171.9;1023.4;1070.3;1109.4
"199a";0.448;1072.2;898.4;1179.7;1023.4;1070.3;1117.2
"199a";0.472;1062.2;890.6;1156.3;1000;1054.7;1093.8
"199a";0.472;1089.9;906.3;1164.1;1000;1062.5;1117.2
"220b";0.552;855.6;687.5;1851.6;859.4;976.6;1640.6
"220b";0.48;1012;890.6;1093.8;968.8;1007.8;1046.9
"220b";0.48;1005.3;859.4;1078.1;960.9;1007.8;1046.9
"220b";0.456;967.8;859.4;1062.5;945.3;984.4;1054.7
"220b";0.464;988.8;898.4;1062.5;968.8;1000;1054.7
"220b";0.504;975.6;859.4;1101.6;953.1;992.2;1054.7
