"id";"q25";"q50";"q75";"fma";"minf";"maxf";"SYL1"
"72";4021;5275;6085;5980;794;7227;0.184
"72";3913;5310;6163;5897;785;7286;0.196
"72";3983;5291;6123;5523;783;7127;0.177
"72";3962;5310;6115;5892;783;7181;0.189
"72";3749;5189;6034;5523;783;7151;0.186
"72";3803;5224;6085;5897;785;7116;0.188
"72";3558;5151;6037;5908;775;7735;0.188
"72";3679;5154;6010;5412;780;7275;0.19
"72";3862;5256;6077;5913;785;7270;0.184
"72";3902;5229;6123;5894;788;7165;0.195
"74";3316;4258;5937;3986;920;9116;0.189
"74";3364;4338;5905;3789;920;9081;0.164
"74";3372;4303;5918;4048;877;9017;0.175
"74";3321;4268;5932;4021;925;9124;0.186
"74";3294;4231;5932;4072;923;9504;0.187
"74";3329;4268;5940;4085;923;9103;0.174
"74";3305;4298;6015;4059;915;9140;0.19
"74";3302;4285;5959;4115;909;8058;0.184
"74";3308;4260;5916;4018;904;9213;0.185
"74";3286;4252;5953;4029;942;8930;0.183
"84";3106;4952;6018;5722;893;8058;0.168
"84";3278;5030;6056;5733;885;8196;0.179
"84";3095;4721;5910;5743;904;8214;0.169
"84";3294;4888;5905;5738;958;7407;0.169
"84";3219;5114;5964;5824;920;7412;0.158
"84";2648;4941;5980;5808;877;7396;0.16
"84";3213;4850;5970;5604;974;7358;0.171
"84";3143;4866;5943;5889;915;7321;0.163
"84";3246;4818;5986;5733;1049;7192;0.171
"84";3305;5033;5970;5749;1082;7332;0.161
"91";3563;5124;6185;5606;947;7760;0.177
"91";3464;5081;6158;5595;928;7897;0.184
"91";3415;4912;6150;5819;950;8952;0.195
"91";3604;5189;6260;5628;958;7286;0.186
"91";3771;5283;6204;5590;960;7272;0.198
"91";3684;5262;6250;5848;942;7811;0.188
"91";3835;5353;6322;5453;950;7291;0.186
"91";3838;5345;6250;5630;939;7227;0.189
"91";3717;5286;6290;5620;966;11051;0.176
"91";3692;5332;6303;5620;966;7248;0.183
"92";3391;5184;6346;5237;952;7358;0.166
"92";3332;5167;6250;5275;947;7348;0.166
"92";3256;5103;6196;5458;952;7272;0.16
"92";3445;5211;6282;5501;942;7294;0.154
"92";3552;5216;6384;5377;1098;7267;0.151
"92";3439;5211;6319;5566;995;7353;0.149
"92";3143;5114;6061;5302;947;7428;0.151
"92";3068;5065;5937;5297;936;7552;0.151
"92";3273;5151;6196;5237;990;6739;0.149
"92";3332;5124;6228;5550;990;7353;0.15
"224";3299;4968;6007;5738;995;7924;0.189
"224";3299;4963;6029;3192;963;8031;0.189
"224";3299;4995;6050;3149;947;10798;0.181
"224";3305;5028;6050;5840;925;8360;0.19
