"id";"f1";"f3";"f5";"f7";"f9";"f11";"f13";"f15";"f17";"f19";"dur"
"129a";861.4;862.6;884.4;929.1;949.8;957.7;991.7;996.3;992.9;983.5;0.584
"129a";865.1;857.9;876.5;894.9;916.9;935.5;954.4;998.4;993.2;929.9;0.6
"130a";903.4;955.8;1017.9;1029.4;1047.2;1040.4;1047.1;1046.1;1039.4;1030.4;0.52
"130a";1052.1;1059.8;1068.5;1086.6;1087;1088.7;1086.1;1079.2;1056.7;1041.7;0.48
"130a";910.1;965.1;962.5;1045.2;1061.6;1060.4;1069.8;1061.3;1043.9;1045.2;0.496
"130a";941.3;948.3;1046.1;1058.9;1075.6;1078.7;1084.8;1083.5;1082.2;1059.6;0.504
"130a";931.1;955.8;985.9;976.7;1003.6;1014.5;1025.2;1010.5;1010.7;1008.1;0.368
"130a";908.4;1012.7;953.3;1058.1;1057.1;1061.9;1075.1;1074;1050.1;1033.3;0.496
"130a";907.3;984.4;1033.9;969;1047.1;1052.6;1052.1;1062.4;1039.9;1038.6;0.528
"130a";1038.9;1044.3;1056.8;1064.7;1058.1;1075.2;1091.1;1093.2;1061.8;1068.9;0.496
"130a";921.6;991.1;1042.5;1054.2;1069.8;1067.1;1075.1;1070.6;1055.9;1040.5;0.512
"130a";992.8;1016.4;1049.9;1060.3;1068.6;1074.3;1070;1090.9;1078;1041.6;0.504
"137b";865.4;915.6;953.7;966.5;977.5;992.2;1004.1;1017.5;1034.8;1514.5;0.688
"137b";880;921.6;953.2;969.6;992;1001.1;1018.5;1025.7;1037;1076;0.632
"137b";937;949.2;969.1;984.1;995.6;1000.7;1014.7;1023.7;1043.4;1058;0.544
"137b";841.8;883.3;938.8;952.9;971.9;988.9;994.4;1004.5;1002.4;1014.5;0.68
"137b";1271.5;853.2;918.2;941.1;960.4;976.5;991.5;1000.1;1005.1;1001.5;0.84
"137b";810.4;910;947.5;969.1;987.7;1003.2;1017.2;1026.7;1037.9;538.6;0.68
"137b";944.3;961.1;975.9;991;998.2;1011;1018.5;1023;1040.5;581.5;0.544
"137b";829.4;883.4;918.9;945.1;958.6;971.6;987;993.7;1007.6;1047;0.712
"137b";879.9;927.4;948.2;968.7;987.8;996.7;1005.3;1022.9;1034.5;1062.4;0.6
"137b";570.8;812.6;871.6;914.2;940.5;955.9;967.3;978.3;529.1;1478;0.792
"159c";842.9;875.2;888.2;972.4;988.5;965.5;975.7;978.8;978.5;958.3;0.512
"159c";850.9;889.1;931.8;990.6;991;983.1;987.3;984.4;974.6;921.9;0.496
"159c";848.2;886.2;927.9;967.8;985.6;993;987.7;982.7;976.5;953.6;0.496
"159c";853.9;576.7;932.9;962.4;980.7;987.2;984.1;986.6;983.5;964.7;0.496
"159c";853.9;881.1;914.9;979;987;526.7;983.8;977.9;974.7;533.9;0.536
"159c";851.2;895.1;525.2;555;562.5;960.2;970.8;536.8;972.6;718.2;0.552
"159c";840.7;880.4;917.7;951.5;970.1;966.3;981.2;977.5;970.8;917.8;0.544
"159c";848;884.7;921.7;982.8;990.9;994.9;985.5;984.5;975.7;950.6;0.496
"159c";862.7;901.2;948.6;989.3;1011.8;1015.1;1009.3;992.9;984.1;968.4;0.48
"159c";827;869;914;961.8;970.8;970.5;975.4;980.2;974.8;906.9;0.528
"188a";970.5;1073.4;1125.6;1151.4;1166.3;1160.6;1185.9;1180.9;1155;1143.5;0.544
"188a";881.1;1072.6;1103.4;1124.7;1138.9;1152.4;1153.9;1148;1105.8;1028.4;0.56
"188a";1046.9;1082.8;1099.5;1132.2;1151;1171.6;1204.2;1202.1;1197.2;1131.9;0.592
"188a";539.4;1102.4;1132.3;1164.2;1195.1;1206.7;1218;1229.3;1220.3;1084.4;0.576
"188a";1070.2;1110.4;1131.8;1162.6;1181.8;1188;1198.6;1184.2;1177.3;1102.5;0.56
"188a";554.6;1094;1118.1;1154.9;1168.2;1175.5;1179.4;1175.7;1195.9;1095.3;0.584
"188a";869.5;892.8;1100.5;1134.8;1148.4;1161;1158.6;1164.5;1140.3;1078.6;0.544
"188a";1062.3;1123.7;1134.5;1152.4;1158.8;1201;1208.2;1183.8;1195.7;1161.9;0.592
"188a";557;1097.5;1115.8;1146.3;1176.1;1177.8;1208.4;1187.4;1206.7;1136.1;0.592
"188a";1053.4;1079.5;1106;1124.8;1149.3;1159.9;1170.8;1157;1161.2;837;0.608
"189a";783.8;827.2;856.7;899.5;933.8;983.7;1013.9;1009.6;1038;1006.2;0.608
"189a";777.4;856.9;881.6;900.7;959.3;983.2;1021.5;1023.9;1037.5;1050.2;0.568
"189a";0;698.7;758.3;825.8;890.8;956.9;1047.5;1065.8;1119.5;1161.9;0.8
"189a";738;789.4;825.1;868.3;910;983.6;1009.6;1019.8;1107.2;1102.9;0.64
"189a";737.3;779.8;820.9;863.5;903.4;947.3;982.9;979.9;1035.8;1105.7;0.592
"189a";670.2;706.1;749;790.4;824;854.8;890.2;984.7;1049.5;1079.4;0.656
"189a";697.7;736.6;770.2;820.4;857;881.2;909;935.3;995.2;1079.4;0.648
"189a";726.2;772.1;808.8;856.4;893.3;950.7;988.2;1022.1;1075.7;1072.2;0.608
"189a";747.1;785.4;836.7;879.7;902;965.4;1006.2;1044.7;1075.1;1103.2;0.624
"189a";792.6;841.7;871.6;913;955;1013.8;1031.3;1049.9;1061.8;1006.3;0.568
"190a";841.2;909;973.2;960.1;918.1;913.7;912.2;911.9;902.2;873.3;0.528
"190a";804.4;914.9;1031.3;973.5;953.3;927.5;920.8;912;896.9;765.2;0.528
"190a";830.8;895.7;906.9;931.3;916.7;907.4;898.7;896.8;902.6;877.6;0.552
"190a";801;915.6;993.4;971.9;920.6;911.1;911.6;911;907;874.8;0.512
"190a";838.5;903.7;923.4;937.3;916.4;915.1;915.9;909.3;907.8;870.4;0.528
"190a";804.5;917.6;990.8;983.4;929.1;921.1;915.2;915.4;913;889.3;0.504
"190a";800.6;910.7;990.3;972.3;910.2;919.1;918.2;913.8;906.7;863.4;0.512
"190a";797.4;913.2;969.1;925.1;914.5;916.7;915.2;909.8;900.3;795.4;0.56
"190a";820;929.4;1021;1001.8;939.9;919.7;916.9;912.9;905.3;881.5;0.488
"190a";849.7;939.7;1018.6;976.9;941.7;921.7;917;914.7;896;773.4;0.544
"194a";756.3;808.5;844.1;869.8;894.5;907;928;934.8;951;942.5;0.52
"194a";768.9;826.2;858.5;878.6;902;915.9;931.7;950.1;960.4;954.6;0.48
"194a";824.5;879.8;907.5;914.7;921.9;938.8;951.4;961.8;976.5;968.9;0.504
"194a";776.7;827.4;868.5;887.2;915.4;934.4;941.4;950.2;963.1;914.4;0.504
"194a";800.7;862.1;882.2;912.9;922.7;933.8;950.8;968.2;982;976.5;0.488
"194a";737.4;796.8;839.2;867.4;892.5;905.9;935.7;963.8;1037.5;1052.8;0.496
"194a";803.8;848.1;870.2;896.6;903.5;921.5;934.6;955.5;585.5;976.4;0.504
"194a";771.5;842.5;869.6;896.9;908.6;921.3;927.4;949.3;961;926.1;0.504
"194a";772.2;827.5;861.4;882.7;895.9;908.1;916.2;936.3;951.3;917.6;0.512
"194a";991.7;615;715.3;765;791.9;825;848.3;874.9;888.2;938.8;0.568
"1973";886.8;950.2;965.8;1012.6;1035;1039.8;1053;1060.5;1062;1041.5;0.488
"1973";909.1;935.9;964.5;1020.3;1049.8;1056.2;1059.6;1063;1063.4;1020.1;0.488
"1973";895.7;909.2;940.3;960;976.5;997.5;1021.5;1038.5;1048.5;1041.4;0.504
"1973";907.7;948.2;976.1;1042.7;1053.8;1054.5;1058.9;1062.8;1072.4;1052.1;0.488
"1973";882.9;948.8;969.1;1007.9;1032;1042;1049;1062.4;1063;1039.2;0.504
"1973";873.8;928.6;953.3;980;1013.3;1020.2;1030.5;1039.4;1042.7;1001.2;0.52
"1973";877;917.5;942.1;975.5;1002;1018.7;1028.1;1036.1;1038.5;1007.8;0.528
"1973";890.2;923.4;950.6;981.8;1016.3;1028;1038.2;1056.7;1055.3;1041.7;0.496
"1973";879.6;936.4;958.2;988;1008.5;1023.6;1037.4;1051.8;1047.9;1039.7;0.504
"1973";890.4;927.4;948.4;984.3;1008.2;1029.2;1036.5;1047.6;1053.7;1040.6;0.488
"199a";921.9;1061.7;1082.1;1068.8;1101.1;1085.8;1053.6;1039.9;1039.5;1026.2;0.464
"199a";863.2;1065.4;1069.6;1077.5;1104.1;1074.5;1045.4;1045.9;1035.9;1017.7;0.456
"199a";907.1;1024.1;1059.5;1058.4;1075.6;1043.4;1028.1;1035.3;1013.4;997.7;0.448
"199a";921.8;1022.7;1058.8;1066.2;1071.3;1043.1;1035.2;1040.8;1013.2;991.6;0.432
"199a";898;1085.7;1102.3;1072.8;1105;1077.6;1039.3;1027.1;1027;1001.1;0.456
"199a";921.2;1018.2;1053.2;1053.8;1086.7;1055;1035.1;1031.9;1012.6;989.6;0.464
"199a";960.9;1076.5;1081.8;1075.5;1095.5;1093.9;1062.3;1048.9;1053.3;1035.5;0.44
"199a";925.6;1082;1115.4;1125.9;1069.2;1098.8;1070.7;1061.5;1041.5;1021.6;0.448
"199a";937.8;1069.8;1065.9;1072.2;1094.7;1066.2;1049.1;1025.4;1010;998.9;0.472
"199a";957.6;1012.8;1073.6;1098.9;1074.5;519.6;1032.5;1012;991;973.9;0.472
"220b";754.1;803.1;822.7;839.9;850.6;859;865.9;858.1;866.2;899.7;0.552
"220b";871.3;1013.4;1021.2;1005;996.2;995.1;982.4;991.4;996.8;1014;0.48
"220b";855.5;1002.2;1024.1;1015.3;1007.8;997.4;996.1;989.3;994;1021.5;0.48
"220b";852.5;950.9;969;973.4;982.2;982.6;976.1;979.6;978.6;991.3;0.456
"220b";864.1;984.5;993.4;997.8;1002.6;999.7;995.9;996;997.1;996.4;0.464
"220b";859.1;961.8;983;983.9;984;983.5;986.7;981.5;991.8;987;0.504
"220b";874.8;971.6;998;979;988.1;993.5;988.7;987.7;986.8;1004.3;0.48
"220b";793.4;862.7;875.1;883;888.4;888.8;889.5;887.7;901.2;956.9;0.528
