"id";"dur";"lfreq";"hfreq";"bandw";"q1";"q3";"pf"
"id48";0.322;1252.9;3197.1;1944.2;2062.5;2812.5;2812.5
"id48";0.322;1261.6;3162.5;1900.9;2062.5;2625;2531.2
"id69";0.272;1130.2;2994.3;1864.1;2062.5;2437.5;2343.8
"id69";0.277;1062.8;2960.6;1897.8;1875;2625;2859.4
"id69";0.279;1113.4;2952.1;1838.7;1875;2625;2015.6
"id69";0.277;1121.8;2985.9;1864.1;1875;2250;2062.5
"id69";0.273;1147.1;2960.6;1813.5;1875;2437.5;2062.5
"id69";0.269;1155.6;2985.9;1830.3;1875;2625;2437.5
"id69";0.269;1121.8;2960.6;1838.8;1875;2625;2859.4
"id69";0.275;1113.4;2985.9;1872.5;1875;2625;2859.4
"id69";0.277;1147.1;3002.7;1855.6;1875;2625;2390.6
"id69";0.275;1113.4;2969;1855.6;1875;2437.5;2578.1
"id44";0.302;1229;3038.9;1809.9;1875;2625;2765.6
"id44";0.296;1186.9;3038.9;1852;1875;2625;2953.1
"id44";0.312;1186.9;3047.3;1860.4;1875;2625;2906.2
"id44";0.307;1220.6;3047.3;1826.7;1875;2625;2906.2
"id44";0.306;1220.6;3030.5;1809.9;1687.5;2437.5;2015.6
"id44";0.316;1203.8;3030.5;1826.7;1875;2625;2765.6
"id44";0.316;1212.2;3030.5;1818.3;1875;2625;2671.9
"id44";0.319;1237.4;2963.1;1725.7;1875;2437.5;2859.4
"id44";0.318;1186.9;3038.9;1852;1687.5;2437.5;2296.9
"id44";0.311;1186.9;3013.6;1826.7;1875;2625;2625
"id48";0.329;1264.7;3157.3;1892.6;1875;2625;1406.2
"id48";0.328;1273.7;3148.3;1874.6;1875;2625;1359.4
"id48";0.329;1228.8;3211.1;1982.3;1875;2625;1546.9
"id48";0.322;1282.7;3175.3;1892.6;1875;2625;1593.8
"id48";0.322;1291.6;3121.4;1829.8;1875;2625;1359.4
"id48";0.323;1264.7;3157.3;1892.6;1875;2625;1406.2
"id48";0.319;1282.7;3166.3;1883.6;1875;2625;1406.2
"id48";0.323;1237.8;3202.2;1964.4;1687.5;2437.5;1359.4
"id1";0.311;1041.5;3243.9;2202.4;1734.4;2390.6;1734.4
"id1";0.316;1116.8;3119;2002.2;1734.4;2531.2;2062.5
"id3";0.323;1026.6;3313.5;2286.9;1921.9;2671.9;2671.9
"id3";0.328;1052.5;3287.6;2235.1;2062.5;2765.6;2812.5
"id3";0.334;1013.6;3235.6;2222;1734.4;2390.6;2109.4
"id1";0.322;1136.4;3261.4;2125;1828.1;2531.2;2156.2
"id3";0.334;1002.1;3378;2375.9;1781.2;2812.5;2859.4
"id3";0.338;969.7;3313.3;2343.6;1781.2;2625;2343.8
"id1";0.315;1024.5;3388.9;2364.4;1921.9;2437.5;2250
"id1";0.354;1030.1;3141.7;2111.6;1546.9;2578.1;1500
"id1";0.315;1082.7;3338.3;2255.6;1781.2;2578.1;1875
"id1";0.322;1033.5;3126.2;2092.7;1921.9;2484.4;1968.8
"id1";0.308;1110.1;3177.2;2067.1;1687.5;2531.2;2578.1
"id3";0.325;958.4;3284.2;2325.8;1828.1;2906.2;3000
"id6";0.317;1109.1;3310.5;2201.4;1968.8;2578.1;2437.5
"id6";0.319;1002.2;3327.3;2325.1;1968.8;2625;2015.6
"id6";0.326;1015.6;3313.9;2298.3;1921.9;2625;2859.4
"id6";0.332;1041;3274.4;2233.4;1781.2;2531.2;2109.4
"id6";0.326;1041;3312.3;2271.3;1781.2;2625;2109.4
"id6";0.331;1050.5;3283.9;2233.4;1734.4;2531.2;2062.5
"id6";0.337;1050.5;3265;2214.5;1828.1;2671.9;2203.1
