filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
SS grunty.csv;29;10;10;10;7;2.618220196;0.375862069;0.508652448;2.64852552;2.686546931;0.361339353;16
ANmodulation.csv;25;6;6;11;10;3.440209904;0.713333333;0.823439857;3.677984203;6.23293936;0.450777433;17
ANspec.csv;23;5;5;7;6;5.085522092;0.643478261;1.159039443;3.442295715;5.352096577;0.6152823;17
CCformants.csv;7;6;6;4;4;9.031073045;1;3.36065182;2.807354842;9.135916184;0.967710075;17
CCspec - reduced.csv;31;5;5;7;6;5.250081806;0.716129032;1.003796753;4.007121574;6.858212539;0.583661649;17
LAhighweewoo.csv;8;6;6;7;5;4.724610637;0.895833333;0.960852125;2.602887552;7.20103144;0.77261693;17
SS grunty.csv;11;9;9;10;7;2.756385862;0.565656566;0.6156849;2.159057905;2.816873147;0.559655856;17
ANmodulation.csv;17;7;7;11;10;4.067400118;0.806722689;0.962843192;3.421402871;6.706700627;0.606236249;18
ANspec.csv;8;8;8;7;6;3.632029277;0.734375;0.843772074;2.163834256;4.295670895;0.70432475;18
CCformants.csv;32;10;10;4;4;10.51812322;0.9875;3.319661127;4.93837204;10.85721348;0.956391149;18
CCspec - reduced.csv;23;8;8;7;6;5.378084248;0.820652174;1.030527079;3.852977147;7.356852668;0.686981478;18
LAhighweewoo.csv;15;8;8;7;5;3.868884333;0.75;0.811797309;3.010981212;5.494993819;0.622234627;18
SS grunty.csv;25;10;10;10;8;2.812657584;0.42;0.520056537;2.620577138;2.808356818;0.414470099;18
ANmodulation.csv;28;9;9;11;10;3.662069095;0.694444444;0.792557868;3.727339186;5.726990907;0.493767252;19
ANspec.csv;5;10;10;7;6;2.68928773;0.94;0.743483146;2.074750243;6.789995508;0.678274301;19
CCformants.csv;33;6;6;4;4;10.36193669;0.97979798;3.292038636;4.963163231;11.219265;0.919771967;19
CCspec - reduced.csv;15;9;9;7;6;5.137701942;0.881481481;0.995912734;3.429800131;7.467647078;0.755228826;19
LAhighweewoo.csv;12;8;8;7;5;3.017110435;0.697916667;0.612166109;2.561700005;4.44418614;0.564371564;19
SS grunty.csv;18;9;9;10;8;2.878182925;0.475308642;0.56643021;2.340098703;2.753157713;0.474693978;19
ANmodulation.csv;11;6;6;11;10;3.76986958;0.848484848;0.932024791;2.849775458;6.842770327;0.638150313;20
ANspec.csv;15;10;10;7;6;4.223911198;0.693333333;0.916275616;2.930795278;4.504829465;0.683312948;20
CCformants.csv;13;10;10;4;4;9.957526451;0.992307692;3.517544742;3.663251408;9.44438872;0.983950716;20
CCspec - reduced.csv;21;6;6;7;6;5.486027093;0.833333333;1.035763887;3.764054663;7.752959515;0.685185203;20
LAhighweewoo.csv;6;5;5;7;5;4.591961828;0.966666667;0.914228434;2.454957946;8.4524921;0.7744931;20
SS grunty.csv;30;5;5;10;7;2.414811073;0.34;0.45549268;3.069342448;2.851037162;0.282606692;20
