filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
28.csv;11;19;19;10;10;7.078121332;0.976076555;1.076627157;3.323489914;8.272002353;0.961051771;12
29.csv;14;6;6;10;10;4.660139988;0.726190476;1.040009105;2.920375823;5.411579316;0.684336664;12
3.csv;9;9;9;10;10;1.406694235;0.395061728;0.22475332;1.238637458;1.293496185;0.405537181;12
30.csv;21;13;13;10;10;3.957668808;0.619047619;0.856415187;2.902320382;4.087445367;0.61310584;12
31.csv;36;11;11;10;10;0.782413188;0.065656566;0.102259645;2.04989606;0.334336575;0.116783335;12
32.csv;30;16;16;10;10;7.839641094;0.9125;1.144875915;4.462719362;8.868456652;0.883524091;12
33.csv;35;10;10;10;10;5.610830267;0.725714286;0.788530607;4.000506398;6.432168175;0.665247636;12
34.csv;13;9;9;10;10;0.700427515;0.205128205;0.088160466;1.216657337;0.618447615;0.223234894;12
35.csv;37;20;20;10;10;9.111778898;0.948648649;1.116713225;4.925526533;9.793872539;0.929108996;12
36.csv;23;9;9;10;10;6.676857014;0.835748792;0.786127297;3.827066101;7.471966054;0.809123524;12
37.csv;24;18;18;10;10;0.924595644;0.162037037;0.099982289;1.268119689;0.758681164;0.17858774;12
38.csv;33;11;11;10;10;6.613707879;0.845730028;0.764387087;4.356029064;8.060996151;0.773254576;12
39.csv;39;15;15;10;10;2.074897077;0.227350427;0.406070099;2.374621438;1.554988;0.277536526;12
4.csv;34;20;20;10;10;2.293657864;0.332352941;0.36221168;2.174764704;2.225827544;0.325486301;12
40.csv;23;10;10;10;10;1.829790793;0.265217391;0.300180082;2.002303139;1.557244058;0.29321607;12
41.csv;26;20;20;10;10;1.683302093;0.246153846;0.250206728;1.697034409;1.368280452;0.280613463;12
42.csv;37;6;6;10;10;7.296855922;0.810810811;1.051047489;4.509221601;8.330963798;0.762907464;12
43.csv;24;7;7;10;10;0.365649726;0.083333333;0.034319264;1.921817396;0.383951452;0.0784888;12
44.csv;26;20;20;10;10;2.237871432;0.378846154;0.24314108;1.965582052;2.244533902;0.360080151;12
45.csv;18;16;16;10;10;8.42052695;0.944444444;1.157295237;3.94580559;8.609811815;0.951444299;12
46.csv;28;12;12;10;10;7.010970536;0.851190476;1.233391067;4.154346723;7.803520393;0.828790801;12
47.csv;18;13;13;10;10;3.37432621;0.615384615;0.507259974;2.522758546;3.772375453;0.570170108;12
48.csv;13;9;9;10;10;2.082055658;0.418803419;0.29013439;1.72438552;1.964160489;0.436696966;12
49.csv;23;20;20;10;10;3.433077736;0.57173913;0.475865241;2.59553669;3.64512516;0.546092217;12
5.csv;8;7;7;10;10;7.145315757;0.946428571;1.031838001;2.778743501;7.981673824;0.928801332;12
50.csv;39;17;17;10;10;7.895195321;0.892911011;0.839756205;4.749224012;8.816677706;0.873345242;12
6.csv;32;14;14;10;10;0.964549793;0.118303571;0.117265141;1.709387795;0.659132361;0.15014844;12
7.csv;36;15;15;10;10;5.716235159;0.718518519;1.007806451;3.904949441;6.148746181;0.704633309;12
8.csv;19;7;7;10;10;3.230498346;0.518796992;0.375935603;2.605948666;3.378703466;0.486763544;12
9.csv;27;7;7;10;10;5.102677011;0.671957672;0.876498548;3.498161564;5.647808724;0.619611201;12
1.csv;12;16;16;10;10;0.230599786;0.135416667;0.025582789;0.713026823;0.09711302;0.169369198;13
10.csv;5;17;17;10;10;6.418089447;1;1.193012526;2.321928028;7.607429478;1.007935709;13
11.csv;36;5;5;10;10;3.011046725;0.25;0.453399016;3.126536514;2.184383145;0.329497501;13
12.csv;23;17;17;10;10;5.184583636;0.805626598;0.788905008;3.601432481;6.541586656;0.725179549;13
13.csv;28;16;16;10;10;7.637111276;0.910714286;0.999143948;4.345729362;8.732663281;0.878846694;13
14.csv;25;10;10;10;10;9.258267706;0.968;1.108325064;4.500107821;10.12497854;0.930389056;13
15.csv;36;17;17;10;10;1.062713967;0.14869281;0.15071608;1.794627174;0.913169101;0.159498629;13
16.csv;14;10;10;10;10;1.844945642;0.385714286;0.241756445;1.777806468;1.794913441;0.39406756;13
17.csv;10;6;6;10;10;2.004058679;0.4;0.269416917;1.852365804;1.730154941;0.44100885;13
18.csv;13;16;16;10;10;6.934486648;0.961538462;1.292575178;3.502116021;8.305751278;0.938274588;13
19.csv;37;8;8;10;10;4.845941471;0.621621622;0.744161395;3.736247395;5.419209269;0.562397471;13
2.csv;25;15;15;10;10;6.562593076;0.877333333;0.788148719;4.053780694;7.93559649;0.826252209;13
20.csv;36;11;11;10;10;6.861056477;0.825757576;1.185757807;4.433687034;7.857371575;0.784949488;13
21.csv;19;16;16;10;10;0.487748769;0.131578947;0.052045988;1.109152953;0.399552149;0.140034754;13
22.csv;5;8;8;10;10;1.907807443;0.775;0.297884211;1.520881952;4.317383282;0.551392431;13
23.csv;22;18;18;10;10;3.294274733;0.580808081;0.581654453;2.63888328;3.659671439;0.535994717;13
24.csv;13;8;8;10;10;4.068723841;0.701923077;0.767467608;2.573956551;4.626218393;0.67081239;13
25.csv;22;11;11;10;10;8.43113477;0.950413223;0.968284831;4.235479105;9.426784679;0.917796277;13
26.csv;17;8;8;10;10;4.646811301;0.786764706;0.778835443;3.253744622;6.213266457;0.678107743;13
27.csv;35;16;16;10;10;6.705256655;0.792857143;0.767764199;4.147579105;7.098802349;0.798944153;13
28.csv;38;5;5;10;10;8.356367026;0.821052632;1.046482155;4.666293678;8.710770121;0.816291193;13
29.csv;26;16;16;10;10;4.744716439;0.730769231;0.846883703;3.453750733;5.710889509;0.659153328;13
3.csv;35;18;18;10;10;1.771453156;0.241269841;0.225249895;2.052477987;1.561304479;0.253036001;13
30.csv;9;16;16;10;10;3.612631893;0.784722222;0.721910965;2.213883855;4.494888301;0.745822584;13
31.csv;9;17;17;10;10;1.100906654;0.379084967;0.136673647;1.050902505;0.901686801;0.38720855;13
32.csv;6;16;16;10;10;5.872177823;0.989583333;1.247432916;2.527807552;7.611209002;0.971449849;13
33.csv;39;8;8;10;10;5.87200013;0.701923077;0.804764602;4.170871583;6.507807261;0.661636025;13
34.csv;23;17;17;10;10;1.005621124;0.16112532;0.127944099;1.45399157;0.719775515;0.196289173;13
35.csv;8;15;15;10;10;6.31611998;0.983333333;0.911231922;2.911660084;7.924424679;0.961957737;13
36.csv;6;10;10;10;10;4.427683566;0.916666667;0.750152251;2.230411958;6.540576122;0.839805245;13
37.csv;37;13;13;10;10;0.984912562;0.135135135;0.10354796;1.921229529;0.865957233;0.143303703;13
38.csv;31;16;16;10;10;6.275649728;0.820564516;0.741196505;4.055506467;7.332274633;0.776360093;13
39.csv;14;8;8;10;10;1.5463539;0.357142857;0.263136488;1.775930855;1.699587694;0.33517048;13
4.csv;23;16;16;10;10;2.374068331;0.372282609;0.391936161;2.02253317;2.119419587;0.398568616;13
40.csv;5;10;10;10;10;1.431855313;0.64;0.226322856;1.067053991;2.435285891;0.504990102;13
41.csv;33;17;17;10;10;1.722392451;0.226381462;0.28058603;1.957457342;1.424475509;0.251018759;13
