id;i;o;parmean;Pvalue;PIC3;PIC4;Fvalue;PICbwtotal;PICbwmeans;HSngroups;HSntot;HSnpergroup;HSvarcomp
0.01;5;8;1013.536856;0.470842862;0.340358588;1.006263775;0.906470189;1.031264117;0.348814702;-0.0136213;-0.001688662;-0.008483123;0
0.01;5;8;993.1622591;0.864734468;0.198871377;0.963574946;0.316896615;0.987514696;0.203812281;-0.105966776;-0.012425275;-0.064384063;0
0.01;5;8;987.2740011;0.437229816;0.347034806;0.995940433;0.968164013;1.020684295;0.355656788;-0.004607647;-0.000574349;-0.002876328;4.16E-15
0.01;5;8;996.9348167;0.687399942;0.263758027;0.967558075;0.56816302;0.991596784;0.270311021;-0.06515698;-0.007829956;-0.040028418;9.61E-16
0.01;5;8;1015.723343;0.510754089;0.320011205;0.980793941;0.837459335;1.005161492;0.327961794;-0.023839281;-0.002937179;-0.014806974;0
0.01;5;8;993.03755;0.367666877;0.369866925;0.998828393;1.10927604;1.023644006;0.379056165;0.015595394;0.001967963;0.009786561;0.019573122
0.01;5;8;994.8924196;0.450341458;0.345884246;1.004171659;0.943667825;1.029120023;0.354477643;-0.008173143;-0.001016593;-0.005097352;0
0.01;5;8;985.2814209;0.016987808;0.674583714;1.145150844;3.483125384;1.173601797;0.691343558;0.290856427;0.043444953;0.194998497;0.389996994
0.01;5;8;1017.366361;0.279036262;0.404888385;1.010494972;1.327521025;1.035600437;0.414947724;0.045768143;0.005882362;0.028943546;0.057887081
0.01;5;8;987.1052826;0.484871715;0.330176156;0.988490692;0.881730669;1.013049467;0.338379291;-0.017267696;-0.002135992;-0.010743774;8.01E-15
0.01;5;8;1009.780192;0.478260587;0.330512839;0.983650226;0.893320383;1.008088741;0.338724338;-0.015557175;-0.001926397;-0.009683846;0
0.01;5;8;1020.193475;0.573594623;0.297208571;0.966403379;0.736177237;0.990413401;0.304592635;-0.039102512;-0.004773457;-0.024189576;0
0.01;5;8;974.0463046;0.229226849;0.424887985;1.011845599;1.480078472;1.03698462;0.435444208;0.066134229;0.008606043;0.042038808;0.084077669
0.01;5;8;1008.530246;0.334247168;0.381490327;1.000430704;1.185396408;1.025286126;0.390968347;0.026263094;0.003335657;0.016526143;0.033052286
0.01;5;8;1010.374062;0.580468008;0.302588621;0.99052283;0.725547568;1.015132093;0.31010635;-0.040723293;-0.004966447;-0.025181404;0
0.01;5;8;960.7433003;0.283474826;0.405378509;1.015828725;1.315187613;1.041066706;0.415450025;0.044096261;0.005661718;0.027874407;0.055748815
0.01;5;12;996.1624272;0.175069016;0.372018696;1.025358738;1.649165624;1.042377141;0.37819328;0.088054852;0.007762648;0.038003909;0.076007844
0.01;5;12;992.4670568;0.734073895;0.204180936;0.980922818;0.502385975;0.997203695;0.207569831;-0.075619178;-0.00600749;-0.030550626;0
0.01;5;12;988.9167692;0.693246212;0.215345857;0.982610932;0.559129357;0.998919827;0.218920062;-0.066584876;-0.005319918;-0.027000834;0
0.01;5;12;1001.258644;0.605715712;0.243673655;1.009285901;0.684510355;1.026037535;0.247718031;-0.047014918;-0.003802968;-0.019218564;0
0.01;5;12;977.8399512;0.773882404;0.192119249;0.976270322;0.447297528;0.992473979;0.195307951;-0.084499585;-0.006675637;-0.034013679;0
0.01;5;12;1001.395159;0.146404287;0.397725096;1.060147031;1.778031347;1.077742832;0.404326343;0.104324968;0.009293722;0.045315589;0.090631193
0.01;5;12;998.2668455;0.126768857;0.390607286;1.015594554;1.881133669;1.032450895;0.397090395;0.117083093;0.010516361;0.051112582;0.102225111
0.01;5;12;994.1432226;0.801107552;0.183178243;0.97168149;0.409386561;0.987808984;0.186218546;-0.090675067;-0.007135804;-0.03640659;0
0.01;5;12;969.400968;0.4873472;0.266559459;0.985145223;0.870863169;1.001496181;0.270983682;-0.018875319;-0.001554215;-0.007804782;6.41E-16
0.01;5;12;999.098584;0.929164968;0.133127668;0.96837222;0.214720484;0.984444788;0.135337256;-0.123245569;-0.009503317;-0.048820371;0
0.01;5;12;1004.91272;0.566119136;0.248506521;0.989266997;0.744095869;1.005686366;0.252631111;-0.037897465;-0.003083176;-0.015549378;0
0.01;5;12;1011.672173;0.311444708;0.320948313;1.012692663;1.223571931;1.02950084;0.326275256;0.031554289;0.002682889;0.01331576;0.026631491
0.01;5;12;975.3793049;0.956777499;0.117496361;0.982813925;0.16176241;0.999126189;0.119446508;-0.132366745;-0.010148735;-0.052234782;0
